model,bic,ssr,params,cell_line,density
logistic_growth,139.4913494579379,203967.70635102064,"[0.7715262470516224, 4069.966384962819]",A2780Naive,20k
theta_logistic_growth,142.11269389734684,203709.8082762736,"[0.7575043613071866, 4065.1078983162643, 1.0411954917404518]",A2780Naive,20k
logistic_simple_death,142.13040678758873,203967.70635153868,"[2.4474212257143573, 12910.673628030017, 1.6758950725362636]",A2780Naive,20k
logistic_growth,147.23785321581738,354703.906802251,"[0.7814694397192047, 3966.258065879005]",A2780Naive,30k
theta_logistic_growth,147.76831559572898,305109.1102396101,"[1.1397569186757834, 4049.952080600341, 0.5096130054236169]",A2780Naive,30k
gompertz_growth,148.49482279444476,388023.8929262456,"[0.403826241169591, 4196.988048899079]",A2780Naive,30k
logistic_simple_death,149.87691054535293,354703.90680023097,"[2.2956498363136544, 11651.31019561122, 1.5141806520349435]",A2780Naive,30k
gompertz_growth,151.10703047033155,467618.6811799956,"[0.40945845771541717, 4276.481958257696]",A2780Naive,20k
allee_growth,167.47311120055258,1.2465747280522624e6,"[1.0000057938576864e-6, 3862.5811655308307, 0.0009739317378143688]",A2780Naive,20k
allee_growth,171.97190962731256,1.7189992966799627e6,"[1.0000003450278289e-6, 3738.1410700318297, 0.0008536047550664368]",A2780Naive,30k
