source_file,Day,Well,mean_value,n_tiles,n_channels
measure_25-75A2780IC50tre1uM_2000Thres.csv,1,A3,80.19,3,1
measure_25-75A2780IC50tre1uM_2000Thres.csv,1,A6,126.76,3,1
measure_25-75A2780IC50tre1uM_2000Thres.csv,1,B3,58.52,3,1
measure_25-75A2780IC50tre1uM_2000Thres.csv,1,B6,108.82,3,1
measure_25-75A2780IC50tre1uM_2000Thres.csv,1,C3,99.5,3,1
measure_25-75A2780IC50tre1uM_2000Thres.csv,1,C6,123.95,3,1
measure_25-75A2780IC50tre1uM_2000Thres.csv,2,A3,92.46,3,1
measure_25-75A2780IC50tre1uM_2000Thres.csv,2,A6,211.48,3,1
measure_25-75A2780IC50tre1uM_2000Thres.csv,2,B3,80.04,3,1
measure_25-75A2780IC50tre1uM_2000Thres.csv,2,B6,174.55,3,1
measure_25-75A2780IC50tre1uM_2000Thres.csv,2,C3,166.78,3,1
measure_25-75A2780IC50tre1uM_2000Thres.csv,2,C6,184.57,3,1
measure_25-75A2780IC50tre1uM_2000Thres.csv,3,A3,185.07,3,1
measure_25-75A2780IC50tre1uM_2000Thres.csv,3,A6,367.81,3,1
measure_25-75A2780IC50tre1uM_2000Thres.csv,3,B3,109.17,3,1
measure_25-75A2780IC50tre1uM_2000Thres.csv,3,B6,311.09,3,1
measure_25-75A2780IC50tre1uM_2000Thres.csv,3,C3,264.04,3,1
measure_25-75A2780IC50tre1uM_2000Thres.csv,3,C6,303.11,3,1
measure_25-75A2780IC50tre1uM_2000Thres.csv,4,A3,255.08,3,1
measure_25-75A2780IC50tre1uM_2000Thres.csv,4,A6,480.87,3,1
measure_25-75A2780IC50tre1uM_2000Thres.csv,4,B3,146.53,3,1
measure_25-75A2780IC50tre1uM_2000Thres.csv,4,B6,332.5,3,1
measure_25-75A2780IC50tre1uM_2000Thres.csv,4,C3,267.49,3,1
measure_25-75A2780IC50tre1uM_2000Thres.csv,4,C6,367.88,3,1
measure_25-75A2780IC50tre1uM_2000Thres.csv,5,A3,315.68,3,1
measure_25-75A2780IC50tre1uM_2000Thres.csv,5,A6,644.05,3,1
measure_25-75A2780IC50tre1uM_2000Thres.csv,5,B3,291.72,3,1
measure_25-75A2780IC50tre1uM_2000Thres.csv,5,B6,480.37,3,1
measure_25-75A2780IC50tre1uM_2000Thres.csv,5,C3,467.46,3,1
measure_25-75A2780IC50tre1uM_2000Thres.csv,5,C6,551.18,3,1
measure_25-75A2780IC50tre1uM_2000Thres.csv,6,A3,341.26,3,1
measure_25-75A2780IC50tre1uM_2000Thres.csv,6,A6,548.79,3,1
measure_25-75A2780IC50tre1uM_2000Thres.csv,6,B3,331.68,3,1
measure_25-75A2780IC50tre1uM_2000Thres.csv,6,B6,406.92,3,1
measure_25-75A2780IC50tre1uM_2000Thres.csv,6,C3,442.35,3,1
measure_25-75A2780IC50tre1uM_2000Thres.csv,6,C6,588.19,3,1
measure_25-75A2780IC50tre1uM_2000Thres.csv,7,A3,512.49,3,1
measure_25-75A2780IC50tre1uM_2000Thres.csv,7,A6,1034.76,3,1
measure_25-75A2780IC50tre1uM_2000Thres.csv,7,B3,340.64,3,1
measure_25-75A2780IC50tre1uM_2000Thres.csv,7,B6,698.29,3,1
measure_25-75A2780IC50tre1uM_2000Thres.csv,7,C3,559.95,3,1
measure_25-75A2780IC50tre1uM_2000Thres.csv,7,C6,962.34,3,1
measure_25-75A2780IC50tre1uM_2000Thres.csv,8,A3,293.17,3,1
measure_25-75A2780IC50tre1uM_2000Thres.csv,8,A6,604.26,3,1
measure_25-75A2780IC50tre1uM_2000Thres.csv,8,B3,260.64,3,1
measure_25-75A2780IC50tre1uM_2000Thres.csv,8,B6,469.48,3,1
measure_25-75A2780IC50tre1uM_2000Thres.csv,8,C3,305.52,3,1
measure_25-75A2780IC50tre1uM_2000Thres.csv,8,C6,355.61,3,1
measure_25-75A2780IC50tre1uM_2000Thres.csv,9,A3,277.87,3,1
measure_25-75A2780IC50tre1uM_2000Thres.csv,9,A6,716.9,3,1
measure_25-75A2780IC50tre1uM_2000Thres.csv,9,B3,312.21,3,1
measure_25-75A2780IC50tre1uM_2000Thres.csv,9,B6,520.7,3,1
measure_25-75A2780IC50tre1uM_2000Thres.csv,9,C3,330.55,3,1
measure_25-75A2780IC50tre1uM_2000Thres.csv,9,C6,448.33,3,1
measure_25-75A2780IC50tre1uM_2000Thres.csv,10,A3,242.47,3,1
measure_25-75A2780IC50tre1uM_2000Thres.csv,10,A6,654.57,3,1
measure_25-75A2780IC50tre1uM_2000Thres.csv,10,B3,346.38,3,1
measure_25-75A2780IC50tre1uM_2000Thres.csv,10,B6,339.0,3,1
measure_25-75A2780IC50tre1uM_2000Thres.csv,10,C3,420.44,3,1
measure_25-75A2780IC50tre1uM_2000Thres.csv,10,C6,287.98,3,1
measure_25-75A2780IC50tre1uM_2000Thres.csv,11,A3,512.15,3,1
measure_25-75A2780IC50tre1uM_2000Thres.csv,11,A6,2087.25,3,1
measure_25-75A2780IC50tre1uM_2000Thres.csv,11,B3,583.83,3,1
measure_25-75A2780IC50tre1uM_2000Thres.csv,11,B6,637.42,3,1
measure_25-75A2780IC50tre1uM_2000Thres.csv,11,C3,600.77,3,1
measure_25-75A2780IC50tre1uM_2000Thres.csv,11,C6,546.14,3,1
measure_25-75A2780IC50tre1uM_2000Thres.csv,12,A3,450.46,3,1
measure_25-75A2780IC50tre1uM_2000Thres.csv,12,A6,486.72,3,1
measure_25-75A2780IC50tre1uM_2000Thres.csv,12,B3,413.37,3,1
measure_25-75A2780IC50tre1uM_2000Thres.csv,12,B6,594.88,3,1
measure_25-75A2780IC50tre1uM_2000Thres.csv,12,C3,320.43,3,1
measure_25-75A2780IC50tre1uM_2000Thres.csv,12,C6,1119.62,3,1
measure_25-75A2780IC50tre1uM_2000Thres.csv,13,A3,504.87,3,1
measure_25-75A2780IC50tre1uM_2000Thres.csv,13,A6,1434.1,3,1
measure_25-75A2780IC50tre1uM_2000Thres.csv,13,B3,432.46,3,1
measure_25-75A2780IC50tre1uM_2000Thres.csv,13,B6,873.51,3,1
measure_25-75A2780IC50tre1uM_2000Thres.csv,13,C3,485.45,3,1
measure_25-75A2780IC50tre1uM_2000Thres.csv,13,C6,2901.24,3,1
measure_25-75A2780IC50tre1uM_2000Thres.csv,14,A3,177.04,3,1
measure_25-75A2780IC50tre1uM_2000Thres.csv,14,A6,763.04,3,1
measure_25-75A2780IC50tre1uM_2000Thres.csv,14,B3,386.31,3,1
measure_25-75A2780IC50tre1uM_2000Thres.csv,14,B6,295.73,3,1
measure_25-75A2780IC50tre1uM_2000Thres.csv,14,C3,458.47,3,1
measure_25-75A2780IC50tre1uM_2000Thres.csv,14,C6,348.23,3,1
measure_50-50A2780IC50tre1uM_2000Thres.csv,1,A2,170.53,3,1
measure_50-50A2780IC50tre1uM_2000Thres.csv,1,A5,124.7,3,1
measure_50-50A2780IC50tre1uM_2000Thres.csv,1,B2,164.33,3,1
measure_50-50A2780IC50tre1uM_2000Thres.csv,1,B5,119.77,3,1
measure_50-50A2780IC50tre1uM_2000Thres.csv,1,C2,151.92,3,1
measure_50-50A2780IC50tre1uM_2000Thres.csv,1,C5,194.43,3,1
measure_50-50A2780IC50tre1uM_2000Thres.csv,2,A2,313.38,3,1
measure_50-50A2780IC50tre1uM_2000Thres.csv,2,A5,288.5,3,1
measure_50-50A2780IC50tre1uM_2000Thres.csv,2,B2,264.4,3,1
measure_50-50A2780IC50tre1uM_2000Thres.csv,2,B5,209.58,3,1
measure_50-50A2780IC50tre1uM_2000Thres.csv,2,C2,266.82,3,1
measure_50-50A2780IC50tre1uM_2000Thres.csv,2,C5,368.56,3,1
measure_50-50A2780IC50tre1uM_2000Thres.csv,3,A2,470.73,3,1
measure_50-50A2780IC50tre1uM_2000Thres.csv,3,A5,375.42,3,1
measure_50-50A2780IC50tre1uM_2000Thres.csv,3,B2,435.14,3,1
measure_50-50A2780IC50tre1uM_2000Thres.csv,3,B5,358.28,3,1
measure_50-50A2780IC50tre1uM_2000Thres.csv,3,C2,414.78,3,1
measure_50-50A2780IC50tre1uM_2000Thres.csv,3,C5,496.1,3,1
measure_50-50A2780IC50tre1uM_2000Thres.csv,4,A2,595.34,3,1
measure_50-50A2780IC50tre1uM_2000Thres.csv,4,A5,458.45,3,1
measure_50-50A2780IC50tre1uM_2000Thres.csv,4,B2,563.84,3,1
measure_50-50A2780IC50tre1uM_2000Thres.csv,4,B5,485.69,3,1
measure_50-50A2780IC50tre1uM_2000Thres.csv,4,C2,590.18,3,1
measure_50-50A2780IC50tre1uM_2000Thres.csv,4,C5,682.19,3,1
measure_50-50A2780IC50tre1uM_2000Thres.csv,5,A2,869.57,3,1
measure_50-50A2780IC50tre1uM_2000Thres.csv,5,A5,655.95,3,1
measure_50-50A2780IC50tre1uM_2000Thres.csv,5,B2,782.79,3,1
measure_50-50A2780IC50tre1uM_2000Thres.csv,5,B5,865.45,3,1
measure_50-50A2780IC50tre1uM_2000Thres.csv,5,C2,825.49,3,1
measure_50-50A2780IC50tre1uM_2000Thres.csv,5,C5,1103.46,3,1
measure_50-50A2780IC50tre1uM_2000Thres.csv,6,A2,1010.65,3,1
measure_50-50A2780IC50tre1uM_2000Thres.csv,6,A5,824.71,3,1
measure_50-50A2780IC50tre1uM_2000Thres.csv,6,B2,791.2,3,1
measure_50-50A2780IC50tre1uM_2000Thres.csv,6,B5,797.06,3,1
measure_50-50A2780IC50tre1uM_2000Thres.csv,6,C2,990.02,3,1
measure_50-50A2780IC50tre1uM_2000Thres.csv,6,C5,1179.89,3,1
measure_50-50A2780IC50tre1uM_2000Thres.csv,7,A2,1149.46,3,1
measure_50-50A2780IC50tre1uM_2000Thres.csv,7,A5,1363.61,3,1
measure_50-50A2780IC50tre1uM_2000Thres.csv,7,B2,1231.47,3,1
measure_50-50A2780IC50tre1uM_2000Thres.csv,7,B5,1473.09,3,1
measure_50-50A2780IC50tre1uM_2000Thres.csv,7,C2,1345.83,3,1
measure_50-50A2780IC50tre1uM_2000Thres.csv,7,C5,1788.81,3,1
measure_50-50A2780IC50tre1uM_2000Thres.csv,8,A2,1073.88,3,1
measure_50-50A2780IC50tre1uM_2000Thres.csv,8,A5,888.26,3,1
measure_50-50A2780IC50tre1uM_2000Thres.csv,8,B2,831.81,3,1
measure_50-50A2780IC50tre1uM_2000Thres.csv,8,B5,978.51,3,1
measure_50-50A2780IC50tre1uM_2000Thres.csv,8,C2,1192.12,3,1
measure_50-50A2780IC50tre1uM_2000Thres.csv,8,C5,1033.8,3,1
measure_50-50A2780IC50tre1uM_2000Thres.csv,9,A2,1323.14,3,1
measure_50-50A2780IC50tre1uM_2000Thres.csv,9,A5,1151.6,3,1
measure_50-50A2780IC50tre1uM_2000Thres.csv,9,B2,983.27,3,1
measure_50-50A2780IC50tre1uM_2000Thres.csv,9,B5,1377.34,3,1
measure_50-50A2780IC50tre1uM_2000Thres.csv,9,C2,1363.16,3,1
measure_50-50A2780IC50tre1uM_2000Thres.csv,9,C5,1527.28,3,1
measure_50-50A2780IC50tre1uM_2000Thres.csv,10,A2,1175.11,3,1
measure_50-50A2780IC50tre1uM_2000Thres.csv,10,A5,1139.45,3,1
measure_50-50A2780IC50tre1uM_2000Thres.csv,10,B2,1009.05,3,1
measure_50-50A2780IC50tre1uM_2000Thres.csv,10,B5,1355.26,3,1
measure_50-50A2780IC50tre1uM_2000Thres.csv,10,C2,1418.16,3,1
measure_50-50A2780IC50tre1uM_2000Thres.csv,10,C5,1614.08,3,1
